|   time   | reset | clock0  |startClock |anyByteCloc|stateRegister| byte |byte0State |byte1State | byteDone  |byteDoneSig| beginAck  |anyAckState|  ackDone  |ackDoneSign|  sdaByte  |  sclByte  | sdaAck  | sclAck  |
| 1135     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1197     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1198     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1259     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1260     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1322     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1323     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1385     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1386     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1448     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1449     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1511     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1512     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1574     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1575     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1637     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1638     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1700     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1701     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1763     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1764     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1826     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1827     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 1889     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1890     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1952     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 1953     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 2015     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2016     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2078     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2079     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2141     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 2142     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 2204     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 2205     |   0   |    0    |     0     |     0     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     1     |    0    |    0    |
| 2267     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2268     |   0   |    1    |     0     |     1     |   0000100   |  00  |     1     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2330     |   0   |    0    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
